Time,sensor_mo.mean,Date,StudentID,TimePeriod
02/12/2024 10:15,1,02-12-2024,S4,1
02/12/2024 10:20,1,02-12-2024,S4,1
02/12/2024 10:25,1,02-12-2024,S4,1
02/12/2024 10:30,1,02-12-2024,S4,1
02/12/2024 10:35,0,02-12-2024,S4,1
02/12/2024 10:40,0,02-12-2024,S4,1
02/12/2024 10:45,1,02-12-2024,S4,1
02/12/2024 10:50,1,02-12-2024,S4,1
02/12/2024 10:55,1,02-12-2024,S4,1
02/12/2024 11:00,1,02-12-2024,S4,1
02/12/2024 09:00,1,02-12-2024,S5,1
02/12/2024 09:05,1,02-12-2024,S5,1
02/12/2024 09:10,1,02-12-2024,S5,1
02/12/2024 09:15,1,02-12-2024,S5,1
02/12/2024 09:20,1,02-12-2024,S5,1
02/12/2024 09:25,0,02-12-2024,S5,1
02/12/2024 09:30,1,02-12-2024,S5,1
02/12/2024 09:35,1,02-12-2024,S5,1
02/12/2024 09:40,1,02-12-2024,S5,1
02/12/2024 09:45,1,02-12-2024,S5,1
02/12/2024 09:50,1,02-12-2024,S5,1
02/12/2024 09:55,1,02-12-2024,S5,1
02/12/2024 10:00,1,02-12-2024,S5,1
02/12/2024 10:05,1,02-12-2024,S5,1
02/12/2024 10:10,1,02-12-2024,S5,1
02/12/2024 10:15,1,02-12-2024,S5,1
02/12/2024 10:20,1,02-12-2024,S5,1
02/12/2024 10:25,1,02-12-2024,S5,1
02/12/2024 10:30,1,02-12-2024,S5,1
02/12/2024 10:35,0,02-12-2024,S5,1
02/12/2024 10:40,1,02-12-2024,S5,1
02/12/2024 10:45,1,02-12-2024,S5,1
02/12/2024 10:50,1,02-12-2024,S5,1
02/12/2024 10:55,1,02-12-2024,S5,1
02/12/2024 11:00,1,02-12-2024,S5,1
02/12/2024 09:00,0,02-12-2024,S6,1
02/12/2024 09:05,1,02-12-2024,S6,1
02/12/2024 09:10,1,02-12-2024,S6,1
02/12/2024 09:15,1,02-12-2024,S6,1
02/12/2024 09:20,1,02-12-2024,S6,1
02/12/2024 09:25,1,02-12-2024,S6,1
02/12/2024 09:30,1,02-12-2024,S6,1
02/12/2024 09:35,0,02-12-2024,S6,1
02/12/2024 09:40,0,02-12-2024,S6,1
02/12/2024 09:45,1,02-12-2024,S6,1
02/12/2024 09:50,1,02-12-2024,S6,1
02/12/2024 09:55,1,02-12-2024,S6,1
02/12/2024 10:00,1,02-12-2024,S6,1
02/12/2024 10:05,1,02-12-2024,S6,1
02/12/2024 10:10,1,02-12-2024,S6,1
02/12/2024 10:15,1,02-12-2024,S6,1
02/12/2024 10:20,1,02-12-2024,S6,1
02/12/2024 10:25,1,02-12-2024,S6,1
02/12/2024 10:30,1,02-12-2024,S6,1
02/12/2024 10:35,1,02-12-2024,S6,1
02/12/2024 10:40,1,02-12-2024,S6,1
02/12/2024 10:45,1,02-12-2024,S6,1
02/12/2024 10:50,1,02-12-2024,S6,1
02/12/2024 10:55,1,02-12-2024,S6,1
02/12/2024 11:00,1,02-12-2024,S6,1
04/11/2024 09:00,1,04-11-2024,S1,1
04/11/2024 09:05,1,04-11-2024,S1,1
04/11/2024 09:10,1,04-11-2024,S1,1
04/11/2024 09:15,1,04-11-2024,S1,1
04/11/2024 09:20,1,04-11-2024,S1,1
04/11/2024 09:25,1,04-11-2024,S1,1
04/11/2024 09:30,1,04-11-2024,S1,1
04/11/2024 09:35,1,04-11-2024,S1,1
04/11/2024 09:40,1,04-11-2024,S1,1
04/11/2024 09:45,1,04-11-2024,S1,1
04/11/2024 09:50,1,04-11-2024,S1,1
04/11/2024 09:55,0,04-11-2024,S1,1
04/11/2024 10:00,0,04-11-2024,S1,1
04/11/2024 10:05,1,04-11-2024,S1,1
04/11/2024 10:10,1,04-11-2024,S1,1
04/11/2024 10:15,1,04-11-2024,S1,1
04/11/2024 10:20,1,04-11-2024,S1,1
04/11/2024 10:25,1,04-11-2024,S1,1
04/11/2024 10:30,1,04-11-2024,S1,1
04/11/2024 10:35,1,04-11-2024,S1,1
04/11/2024 10:40,1,04-11-2024,S1,1
04/11/2024 10:45,1,04-11-2024,S1,1
04/11/2024 10:50,1,04-11-2024,S1,1
04/11/2024 10:55,1,04-11-2024,S1,1
04/11/2024 11:00,1,04-11-2024,S1,1
04/11/2024 09:00,0,04-11-2024,S2,1
04/11/2024 09:05,0,04-11-2024,S2,1
04/11/2024 09:10,1,04-11-2024,S2,1
04/11/2024 09:15,1,04-11-2024,S2,1
04/11/2024 09:20,1,04-11-2024,S2,1
04/11/2024 09:25,1,04-11-2024,S2,1
