,room,day,period,startTime,endTime,status,attendance,semester,partOfDay
241,ATB212 (25) CL,4,11,18:30,21:30,1,1,1,4
242,ATB212 (25) CL,5,1,9:00,10:00,1,0,1,1
243,ATB212 (25) CL,5,2,10:00,11:00,1,1,1,1
244,ATB212 (25) CL,5,3,11:00,12:00,1,0,1,1
245,ATB212 (25) CL,5,4,12:00,13:00,1,0,1,2
246,ATB212 (25) CL,5,5,13:00,14:00,0,0,1,2
247,ATB212 (25) CL,5,6,14:00,15:00,0,0,1,2
248,ATB212 (25) CL,5,7,15:00,16:00,0,0,1,4
249,ATB212 (25) CL,5,8,16:00,17:00,1,1,1,3
250,ATB212 (25) CL,5,9,17:00,18:00,1,1,1,3
251,ATB212 (25) CL,5,10,18:00,19:00,1,1,1,4
252,ATB212 (25) CL,5,11,18:30,21:30,1,1,1,4
253,ATB212 (25) CL,6,1,9:00,10:00,0,0,1,1
254,ATB212 (25) CL,6,2,10:00,11:00,0,0,1,1
255,ATB212 (25) CL,6,3,11:00,12:00,0,0,1,1
256,ATB212 (25) CL,6,4,12:00,13:00,0,0,1,2
257,ATB212 (25) CL,6,5,13:00,14:00,0,0,1,2
258,ATB212 (25) CL,6,6,14:00,15:00,0,0,1,2
259,ATB212 (25) CL,6,7,15:00,16:00,0,0,1,4
260,ATB212 (25) CL,6,8,16:00,17:00,0,0,1,3
261,ATB212 (25) CL,6,9,17:00,18:00,0,0,1,3
262,ATB212 (25) CL,6,10,18:00,19:00,0,0,1,4
263,ATB212 (25) CL,6,11,18:30,21:30,0,0,1,4
264,ATB214 (25) CL,1,1,9:00,10:00,1,1,1,1
265,ATB214 (25) CL,1,2,10:00,11:00,1,1,1,1
266,ATB214 (25) CL,1,3,11:00,12:00,1,1,1,1
267,ATB214 (25) CL,1,4,12:00,13:00,1,1,1,2
268,ATB214 (25) CL,1,5,13:00,14:00,0,0,1,2
269,ATB214 (25) CL,1,6,14:00,15:00,1,0,1,2
270,ATB214 (25) CL,1,7,15:00,16:00,1,1,1,4
271,ATB214 (25) CL,1,8,16:00,17:00,1,1,1,3
272,ATB214 (25) CL,1,9,17:00,18:00,1,0,1,3
273,ATB214 (25) CL,1,10,18:00,19:00,1,1,1,4
274,ATB214 (25) CL,1,11,18:30,21:30,1,1,1,4
275,ATB214 (25) CL,2,1,9:00,10:00,1,1,1,1
276,ATB214 (25) CL,2,2,10:00,11:00,1,1,1,1
277,ATB214 (25) CL,2,3,11:00,12:00,1,1,1,1
278,ATB214 (25) CL,2,4,12:00,13:00,1,0,1,2
279,ATB214 (25) CL,2,5,13:00,14:00,1,1,1,2
280,ATB214 (25) CL,2,6,14:00,15:00,1,1,1,2
281,ATB214 (25) CL,2,7,15:00,16:00,1,0,1,4
282,ATB214 (25) CL,2,8,16:00,17:00,1,1,1,3
283,ATB214 (25) CL,2,9,17:00,18:00,1,0,1,3
284,ATB214 (25) CL,2,10,18:00,19:00,1,1,1,4
285,ATB214 (25) CL,2,11,18:30,21:30,1,1,1,4
286,ATB214 (25) CL,3,1,9:00,10:00,1,1,1,1
287,ATB214 (25) CL,3,2,10:00,11:00,1,0,1,1
288,ATB214 (25) CL,3,3,11:00,12:00,1,0,1,1
289,ATB214 (25) CL,3,4,12:00,13:00,1,1,1,2
290,ATB214 (25) CL,3,5,13:00,14:00,1,1,1,2
291,ATB214 (25) CL,3,6,14:00,15:00,1,1,1,2
292,ATB214 (25) CL,3,7,15:00,16:00,0,0,1,4
293,ATB214 (25) CL,3,8,16:00,17:00,0,0,1,3
294,ATB214 (25) CL,3,9,17:00,18:00,0,0,1,3
295,ATB214 (25) CL,3,10,18:00,19:00,0,0,1,4
296,ATB214 (25) CL,3,11,18:30,21:30,0,0,1,4
297,ATB214 (25) CL,4,1,9:00,10:00,1,1,1,1
298,ATB214 (25) CL,4,2,10:00,11:00,1,1,1,1
299,ATB214 (25) CL,4,3,11:00,12:00,1,0,1,1
300,ATB214 (25) CL,4,4,12:00,13:00,1,1,1,2
301,ATB214 (25) CL,4,5,13:00,14:00,1,1,1,2
302,ATB214 (25) CL,4,6,14:00,15:00,1,1,1,2
303,ATB214 (25) CL,4,7,15:00,16:00,0,0,1,4
304,ATB214 (25) CL,4,8,16:00,17:00,1,1,1,3
305,ATB214 (25) CL,4,9,17:00,18:00,1,1,1,3
306,ATB214 (25) CL,4,10,18:00,19:00,1,1,1,4
307,ATB214 (25) CL,4,11,18:30,21:30,1,0,1,4
308,ATB214 (25) CL,5,1,9:00,10:00,1,1,1,1
309,ATB214 (25) CL,5,2,10:00,11:00,1,1,1,1
310,ATB214 (25) CL,5,3,11:00,12:00,1,1,1,1
311,ATB214 (25) CL,5,4,12:00,13:00,1,1,1,2
312,ATB214 (25) CL,5,5,13:00,14:00,0,0,1,2
313,ATB214 (25) CL,5,6,14:00,15:00,0,0,1,2
314,ATB214 (25) CL,5,7,15:00,16:00,1,1,1,4
315,ATB214 (25) CL,5,8,16:00,17:00,1,0,1,3
316,ATB214 (25) CL,5,9,17:00,18:00,1,1,1,3
317,ATB214 (25) CL,5,10,18:00,19:00,1,1,1,4
318,ATB214 (25) CL,5,11,18:30,21:30,1,1,1,4
319,ATB214 (25) CL,6,1,9:00,10:00,0,0,1,1
320,ATB214 (25) CL,6,2,10:00,11:00,0,0,1,1
321,ATB214 (25) CL,6,3,11:00,12:00,0,0,1,1
322,ATB214 (25) CL,6,4,12:00,13:00,1,1,1,2
323,ATB214 (25) CL,6,5,13:00,14:00,0,0,1,2
324,ATB214 (25) CL,6,6,14:00,15:00,0,0,1,2
325,ATB214 (25) CL,6,7,15:00,16:00,0,0,1,4
326,ATB214 (25) CL,6,8,16:00,17:00,0,0,1,3
327,ATB214 (25) CL,6,9,17:00,18:00,1,1,1,3
328,ATB214 (25) CL,6,10,18:00,19:00,0,0,1,4
329,ATB214 (25) CL,6,11,18:30,21:30,0,0,1,4
330,ATB218(26),1,1,9:00,10:00,1,1,1,1
331,ATB218(26),1,2,10:00,11:00,1,1,1,1
332,ATB218(26),1,3,11:00,12:00,1,1,1,1
333,ATB218(26),1,4,12:00,13:00,1,0,1,2
334,ATB218(26),1,5,13:00,14:00,1,0,1,2
335,ATB218(26),1,6,14:00,15:00,1,1,1,2
336,ATB218(26),1,7,15:00,16:00,1,1,1,4
337,ATB218(26),1,8,16:00,17:00,1,0,1,3
338,ATB218(26),1,9,17:00,18:00,0,0,1,3
339,ATB218(26),1,10,18:00,19:00,1,1,1,4
340,ATB218(26),1,11,18:30,21:30,1,1,1,4
341,ATB218(26),2,1,9:00,10:00,1,0,1,1
342,ATB218(26),2,2,10:00,11:00,1,1,1,1
343,ATB218(26),2,3,11:00,12:00,1,0,1,1
344,ATB218(26),2,4,12:00,13:00,1,1,1,2
345,ATB218(26),2,5,13:00,14:00,0,0,1,2
346,ATB218(26),2,6,14:00,15:00,0,0,1,2
347,ATB218(26),2,7,15:00,16:00,0,0,1,4
348,ATB218(26),2,8,16:00,17:00,0,0,1,3
349,ATB218(26),2,9,17:00,18:00,0,0,1,3
350,ATB218(26),2,10,18:00,19:00,0,0,1,4
351,ATB218(26),2,11,18:30,21:30,0,0,1,4
352,ATB218(26),3,1,9:00,10:00,0,0,1,1
353,ATB218(26),3,2,10:00,11:00,1,1,1,1
354,ATB218(26),3,3,11:00,12:00,1,1,1,1
355,ATB218(26),3,4,12:00,13:00,1,1,1,2
356,ATB218(26),3,5,13:00,14:00,1,1,1,2
357,ATB218(26),3,6,14:00,15:00,0,0,1,2
358,ATB218(26),3,7,15:00,16:00,1,0,1,4
359,ATB218(26),3,8,16:00,17:00,1,1,1,3
360,ATB218(26),3,9,17:00,18:00,1,1,1,3
361,ATB218(26),3,10,18:00,19:00,1,1,1,4
362,ATB218(26),3,11,18:30,21:30,1,1,1,4
363,ATB218(26),4,1,9:00,10:00,1,0,1,1
364,ATB218(26),4,2,10:00,11:00,1,1,1,1
365,ATB218(26),4,3,11:00,12:00,1,1,1,1
366,ATB218(26),4,4,12:00,13:00,1,0,1,2
367,ATB218(26),4,5,13:00,14:00,0,0,1,2
368,ATB218(26),4,6,14:00,15:00,1,1,1,2
369,ATB218(26),4,7,15:00,16:00,1,1,1,4
370,ATB218(26),4,8,16:00,17:00,1,1,1,3
371,ATB218(26),4,9,17:00,18:00,1,0,1,3
372,ATB218(26),4,10,18:00,19:00,0,0,1,4
373,ATB218(26),4,11,18:30,21:30,0,0,1,4
374,ATB218(26),5,1,9:00,10:00,1,1,1,1
375,ATB218(26),5,2,10:00,11:00,1,1,1,1
376,ATB218(26),5,3,11:00,12:00,1,0,1,1
377,ATB218(26),5,4,12:00,13:00,1,1,1,2
378,ATB218(26),5,5,13:00,14:00,0,0,1,2
379,ATB218(26),5,6,14:00,15:00,1,1,1,2
380,ATB218(26),5,7,15:00,16:00,1,1,1,4
381,ATB218(26),5,8,16:00,17:00,1,0,1,3
382,ATB218(26),5,9,17:00,18:00,1,1,1,3
383,ATB218(26),5,10,18:00,19:00,0,0,1,4
384,ATB218(26),5,11,18:30,21:30,0,0,1,4
385,ATB218(26),6,1,9:00,10:00,0,0,1,1
386,ATB218(26),6,2,10:00,11:00,0,0,1,1
387,ATB218(26),6,3,11:00,12:00,0,0,1,1
388,ATB218(26),6,4,12:00,13:00,0,0,1,2
389,ATB218(26),6,5,13:00,14:00,0,0,1,2
390,ATB218(26),6,6,14:00,15:00,0,0,1,2
391,ATB218(26),6,7,15:00,16:00,0,0,1,4
392,ATB218(26),6,8,16:00,17:00,0,0,1,3
393,ATB218(26),6,9,17:00,18:00,0,0,1,3
394,ATB218(26),6,10,18:00,19:00,0,0,1,4
395,ATB218(26),6,11,18:30,21:30,0,0,1,4
396,ATB301(26),1,2,10:00,11:00,1,0,1,1
397,ATB301(26),1,3,11:00,12:00,1,0,1,1
398,ATB301(26),1,4,12:00,13:00,1,0,1,2
399,ATB301(26),1,5,13:00,14:00,1,1,1,2
400,ATB301(26),1,6,14:00,15:00,1,0,1,2
401,ATB301(26),1,7,15:00,16:00,1,0,1,4
402,ATB301(26),1,8,16:00,17:00,0,0,1,3
403,ATB301(26),1,9,17:00,18:00,0,0,1,3
404,ATB301(26),1,10,18:00,19:00,1,1,1,4
405,ATB301(26),1,11,18:30,21:30,1,1,1,4
406,ATB301(26),2,1,9:00,10:00,1,1,1,1
407,ATB301(26),2,2,10:00,11:00,1,1,1,1
408,ATB301(26),2,3,11:00,12:00,1,1,1,1
409,ATB301(26),2,4,12:00,13:00,1,0,1,2
410,ATB301(26),2,5,13:00,14:00,0,0,1,2
411,ATB301(26),2,6,14:00,15:00,0,0,1,2
412,ATB301(26),2,7,15:00,16:00,0,0,1,4
413,ATB301(26),2,8,16:00,17:00,0,0,1,3
414,ATB301(26),2,9,17:00,18:00,0,0,1,3
415,ATB301(26),2,10,18:00,19:00,1,1,1,4
416,ATB301(26),2,11,18:30,21:30,1,1,1,4
417,ATB301(26),3,1,9:00,10:00,0,0,1,1
